MPN,References,Quantity,MSL as recorded,Manufacturer peak C as recorded,Handling,Primary source
CGA3E2X7R1H223K080AE,C501 C513 C523,3,,260,"Exact TDK product page links soft-termination Oct2025 delivery specification. NumericMSL is not published in either reviewed page/specification and is not borrowed from CeraLink or another vendor. Store5…40C/20…70%RH,original packaging,usewithin6months or verify solderability;avoid condensation. Lead-free reflow≤260C/≤10s;preheat delta≤150C for0603/0805,≤130C for1210. Follow exact cleaning/thermal-shock rules; soft termination contains resin and must not be called resinless.",https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_soft_en.pdf
CGA3E2X7R2A103K080AE,C102,1,,260,"Exact TDK product page links soft-termination Oct2025 delivery specification. NumericMSL is not published in either reviewed page/specification and is not borrowed from CeraLink or another vendor. Store5…40C/20…70%RH,original packaging,usewithin6months or verify solderability;avoid condensation. Lead-free reflow≤260C/≤10s;preheat delta≤150C for0603/0805,≤130C for1210. Follow exact cleaning/thermal-shock rules; soft termination contains resin and must not be called resinless.",https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_soft_en.pdf
CGA3E3X7R1H224K080AB,C152 C154,2,,260,"Exact TDK product page links general June2026 delivery specification. NumericMSL is not published in either reviewed page/specification and is not borrowed from CeraLink or another vendor. Store5…40C/20…70%RH,original packaging,usewithin6months or verify solderability;avoid condensation. Lead-free reflow≤260C/≤10s;preheat delta≤150C for0603/0805,≤130C for1210. Follow exact cleaning/thermal-shock rules; soft termination contains resin and must not be called resinless.",https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_general_en.pdf
CGA4J2X7R2A104K125AA,C101 C123 C503,3,,260,"Exact TDK product page links general June2026 delivery specification. NumericMSL is not published in either reviewed page/specification and is not borrowed from CeraLink or another vendor. Store5…40C/20…70%RH,original packaging,usewithin6months or verify solderability;avoid condensation. Lead-free reflow≤260C/≤10s;preheat delta≤150C for0603/0805,≤130C for1210. Follow exact cleaning/thermal-shock rules; soft termination contains resin and must not be called resinless.",https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_general_en.pdf
CGA6N3X7R2A225K230AB,C103 C121 C122 C129,4,,260,"Exact TDK product page links general June2026 delivery specification. NumericMSL is not published in either reviewed page/specification and is not borrowed from CeraLink or another vendor. Store5…40C/20…70%RH,original packaging,usewithin6months or verify solderability;avoid condensation. Lead-free reflow≤260C/≤10s;preheat delta≤150C for0603/0805,≤130C for1210. Follow exact cleaning/thermal-shock rules; soft termination contains resin and must not be called resinless.",https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_general_en.pdf
CRCW06030000Z0EA,R401,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
CRCW0603100KFKEA,R108 R127 R152 R407 R408 R409 R411 R506,8,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
CRCW060310K0FKEA,R157 R201 R202 R303 R410,5,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
CRCW060310R0FKEA,R106,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
CRCW06031K00FKEA,R154 R203 R302 R405 R601 R602 R603 R604 R605 R606,10,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
CRCW06035K10FKEA,R107,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
CRCW12060000Z0EA,R109 R128 R151,3,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
CRCW1206100KFKEA,R111 R125,2,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
CRCW1206510KFKEA,R105,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
CRCW25124R70FKEGHP,R507,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20043/tab/quality/
CRCW25126K81FKEG,R101,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/20035/tab/quality/
ERA3AEB1472V,R104,1,,260,"Exact ERA3 family/product-linked rectangular resistor profile:lead-free peak≤260C/≤10s,above230C30–40s,preheat150…180C60–120s,maximumtwo reflows. ERA datasheet storage5…35C/45…85%RH,≤1year. Use rosin flux; highly acidic/water-soluble/fluoride flux prohibited; cleaning/coating needs process validation. No numericMSL found in reviewed primary docs; retain exact receiving declaration.",https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/DMM0000COL14.pdf
ERA3AEB2612V,R126,1,,260,"Exact ERA3 family/product-linked rectangular resistor profile:lead-free peak≤260C/≤10s,above230C30–40s,preheat150…180C60–120s,maximumtwo reflows. ERA datasheet storage5…35C/45…85%RH,≤1year. Use rosin flux; highly acidic/water-soluble/fluoride flux prohibited; cleaning/coating needs process validation. No numericMSL found in reviewed primary docs; retain exact receiving declaration.",https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/DMM0000COL14.pdf
ESD2CAN24DBZRQ1,D301 D501,2,1,260,Exact orderable-part row; shipping label controls lot exposure.,baseline/GR86_CCA_RevB/evidence/manufacturer/esd2can24_q1.pdf
ESP32-S3-WROOM-1-N8R2,U201,1,3,250,Open-bag168h at25±5C/60%RH; apply exact manufacturer bake procedure only if required.,baseline/GR86_CCA_RevB/evidence/manufacturer/espressif_esp32_s3_wroom1.pdf
GCM188R71C105KA64D,C153 C302 C511 C512 C521 C522,6,1,260,Murata chip MLCC family explicitly MSL1; resin-molded exceptions do not apply. GCM exact approval documents allow240–260C lead-free peak; GRM reflow maximum is not borrowed from GCM. Avoid thermal shock; retain exact part storage/solderability and board-process checks.,https://www.murata.com/en-eu/support/faqs/capacitor/ceramiccapacitor/mnt/0009
GCM188R71H104KA57D,C158 C202 C205 C301 C403 C404 C405 C502 C531,9,1,260,Murata chip MLCC family explicitly MSL1; resin-molded exceptions do not apply. GCM exact approval documents allow240–260C lead-free peak; GRM reflow maximum is not borrowed from GCM. Avoid thermal shock; retain exact part storage/solderability and board-process checks.,https://www.murata.com/en-eu/support/faqs/capacitor/ceramiccapacitor/mnt/0009
GRM1885C1H103JA01D,C532,1,1,,Murata chip MLCC family explicitly MSL1; resin-molded exceptions do not apply. GCM exact approval documents allow240–260C lead-free peak; GRM reflow maximum is not borrowed from GCM. Avoid thermal shock; retain exact part storage/solderability and board-process checks.,https://www.murata.com/en-eu/support/faqs/capacitor/ceramiccapacitor/mnt/0009
LM5164DDAR,U121,1,2,260,Exact TI manufacturer part page read2026-09-09; not borrowed from Q1/non-Q sibling.,https://www.ti.com/product/LM5164/part-details/LM5164DDAR
LM63615DQPWPRQ1,U151,1,3,260,Exact orderable-part row; shipping label controls lot exposure.,baseline/GR86_CCA_RevB/evidence/manufacturer/lm63615_q1.pdf
LQW18AS1N6J0ZD,L406,1,1,260,"Public manufacturer inductor MSL table covers LQ* as1. Exact JELF243A_9139E-01 reference row;recommended reflow245±3C,limit260C/10s,two cycles. Store−10…40C/15…85%RH;usewithin12months or check solderability. IPAcleaning≤40C,other listedcleaning≤60C;do not contact winding with tweezers/brushes. No assembled-board ultrasonic authorization.",https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9139.pdf
LTC4367HMS8#WTRPBF,U101,1,1,,ADI/Linear primary package table dated2016-04-26 explicitly lists MS8 8-lead MSOP MSL1/no drypack. Actual LTC4367 order code uses MS8. Table defers peak body temperature to J-STD020; datasheet300C/10s lead-local rating is not a whole-body reflow allowance.,https://www.analog.com/media/en/quality-documentation/msl-package_26apr2016.pdf
MCAST32MSB7226KPNA01,C127 C128 C151 C155 C156 C157 C201 C204 C401 C402,10,NOT_APPLICABLE,,Taiyo Yuden states resinless ceramic capacitors are outside MSL regulation. No numericMSL1 is assigned. Store and solder according to the exact automotive MLCC specification.,https://www.yuden.co.jp/en/product/support/useful/faq/mlcc/
MIC5504-3.3YM5-TR,U403,1,1,,Exact Microchip material-compliance API row identifies MIC5504-3.3YM5-TR/SOT-23/5 leads/NiPdAu and MSL-1. This does not turn datasheet local-lead260C/10s into whole-body reflow qualification.,https://www.microchip.com/en-us/about/corporate-responsibility/our-products/product-material-compliance.MIC5504-3.3YM5-TR.html
MSS1246T-473MLC,L121,1,1,260,"Family explicitlyMSL1; permitted3x40s at260C, cool between cycles; vendor washing document applies.",baseline/GR86_CCA_RevB/evidence/manufacturer/mss1246t.pdf
OPA2333AIDR,U502,1,1,260,Exact TI manufacturer part page read2026-09-09; not borrowed from Q1/non-Q sibling.,https://www.ti.com/product/OPA2333/part-details/OPA2333AIDR
PA1616D,U401,1,,,"MANUAL_GPS/selective after global. Manufacturer requires prebaking before any SMT reflow; if double-sided reflow, module on second pass only unless first-pass process is separately agreed. Datasheet gives no numeric MSL or bake time/temperature; do not invent125C/24h. Reflow profile must be measured, and selective assembly still requires compatible local heat/cleaning procedure.",baseline/GR86_CCA_RevB/evidence/manufacturer/pa1616d_v06.pdf
"PMEG2010BEA,115",D511 D512 D521 D522,4,,260,"Exact live product API maps PMEG2010BEA,115 to its chemical report, but that report was unavailable403;no MSL is borrowed from PMEG2010BEA-Q. Manufacturer SOD323 page links Feb2026 reflow guide:body<1.6mm gives260Cclassification,typ245Cpeak,three cycles,20–30swithin5Cpeak recommended. This recommended dwell differs from the board10speak allocation; assembler must validate compatible measured profile, not assume all dwell definitions identical.",https://assets.nexperia.com/documents/other-type/REFLOW_BG-BD-1.pdf
S5DHE3_A/H,D101,1,1,260,Exact voltage/type and automotive suffix are within manufacturer family ordering information; family explicitly specifies MSL1 and lead-free maximum peak260C. Time/ramp/repeat-cycle and lot-label controls remain.,baseline/GR86_CCA_RevB/evidence/manufacturer/s5a.pdf
SMAJ30AHE3_A/H,D102,1,1,260,Exact voltage/type and automotive suffix are within manufacturer family ordering information; family explicitly specifies MSL1 and lead-free maximum peak260C. Time/ramp/repeat-cycle and lot-label controls remain.,baseline/GR86_CCA_RevB/evidence/manufacturer/smaj.pdf
SMCJ24AHE3_A/H,D103,1,1,260,Exact voltage/type and automotive suffix are within manufacturer family ordering information; family explicitly specifies MSL1 and lead-free maximum peak260C. Time/ramp/repeat-cycle and lot-label controls remain.,baseline/GR86_CCA_RevB/evidence/manufacturer/smcj.pdf
SN74LVC2G125DCUR,U402 U404,2,1,260,Exact TI manufacturer part page read2026-09-09; not borrowed from Q1/non-Q sibling.,https://www.ti.com/product/SN74LVC2G125/part-details/SN74LVC2G125DCUR
SS16HE3_B/H,D502,1,1,260,Exact voltage/type and automotive suffix are within manufacturer family ordering information; family explicitly specifies MSL1 and lead-free maximum peak260C. Time/ramp/repeat-cycle and lot-label controls remain.,https://www.vishay.com/docs/88746/ss12.pdf
STD25NF20,Q101,1,1,260,"Manufacturer material declaration explicitly names STD25NF20/XMDP*MM2GA62,dated2020-04-08;MSL1,260C,three reflows. Current exact ST product page links this report; sites/material variation and actual lot labels remain controlled.",https://www.st.com/resource/en/material_declaration/md_dp-wspc-to-wspc-252-wspc-dpak_xmdpmm2ga62.pdf
T598X477M006ATE025,C206,1,3,260,Exact X-case table and family storage:168h30C/60%RH; return unused parts to sealed fresh-desiccant MBB; maximumthree specified reflows.,lanes/mechanics/sources/KEM_T2073_T59X.pdf
TCAN3403DRBRQ1,U301,1,2,260,Exact orderable-part row; shipping label controls lot exposure.,baseline/GR86_CCA_RevB/evidence/manufacturer/tcan3403_q1.pdf
TNPU060311K8HWEA00,R155,1,,,TNPU e3 manufacturer Assembly section permits automatic wave/reflow/vapor-phase processing and common electronics cleaning solvents. Coating/potting compatibility remains application-specific. Numeric MSL and a numeric production peak are not stated here and are not invented.,https://www.vishay.com/docs/28779/tnpue3.pdf
TNPU06034K99HWEA00,R156,1,,,TNPU e3 manufacturer Assembly section permits automatic wave/reflow/vapor-phase processing and common electronics cleaning solvents. Coating/potting compatibility remains application-specific. Numeric MSL and a numeric production peak are not stated here and are not invented.,https://www.vishay.com/docs/28779/tnpue3.pdf
TNPW0603100KBEEA,R123,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW060310K0BEEA,R502 R504,2,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW06031K00BEEA,R514 R524,2,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW060324K3BEEA,R103,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW060327K4BEEA,R501,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW060331K6BEEA,R121,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW060336K5BEEA,R503,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW060343K2BEEA,R124,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW06034K02BEEA,R512 R522,2,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW0805118KBEEA,R505,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW0805124KBEEA,R513 R523,2,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW08051M00BEEA,R511 R521,2,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW0805309KBEEA,R122,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TNPW1206549KBEEA,R102,1,NOT_APPLICABLE,,"Exact MPN manufacturer quality row: Not Applicable. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Applicable chip-resistor assembly source supports IEC61760-1 reflow/wave/vapor and common solvent cleaning; no arbitrary coating/potting or ultrasonic process acceptance follows. Exact profile and solderability of aged stock must be checked.",https://www.vishay.com/en/product/28758/tab/quality/
TPD1E05U06DPYR,D402,1,1,260,Exact TI manufacturer part page read2026-09-09; not borrowed from Q1/non-Q sibling.,https://www.ti.com/product/TPD1E05U06/part-details/TPD1E05U06DPYR
TPS26600PWPR,U501,1,2,260,Exact orderable-part row; shipping label controls lot exposure.,baseline/GR86_CCA_RevB/evidence/manufacturer/tps2660.pdf
TPS3808G33QDBVRQ1,U202,1,1,260,Exact TI manufacturer part page read2026-09-09; not borrowed from Q1/non-Q sibling.,https://www.ti.com/product/TPS3808-Q1/part-details/TPS3808G33QDBVRQ1
U.FL-R-SMT-1(80),J401,1,,250,"Manufacturer profile: board/lead surface≤250C for≤10s,≤2cycles; localmanual350C≤5s,stencil0.10–0.12mm. Original packaging storage−10…40C/≤85%RH/≤6months; longer storage requires solderability confirmation. NumericMSL is not listed in the reviewed document. Keep unmated connector clean; no whole-board wash approval inferred.",baseline/GR86_CCA_RevB/evidence/manufacturer/hirose_ufl.pdf
WSL2512R4700FEA,R110,1,FLOOR_LIFE_UNLIMITED,250,"Exact MPN manufacturer quality row: Floor Life-Unlimited. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Vishay document31052 prose specifies reflow≤250C for≤20s; its table allows260C, so this package uses the more restrictive prose. Thermal ramp, cooling and controlled cleaning still apply.",https://www.vishay.com/en/product/30100/tab/quality/
WSLP0603R0100FEA,R153,1,FLOOR_LIFE_UNLIMITED,250,"Exact MPN manufacturer quality row: Floor Life-Unlimited. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Vishay document31052 prose specifies reflow≤250C for≤20s; its table allows260C, so this package uses the more restrictive prose. Thermal ramp, cooling and controlled cleaning still apply.",https://www.vishay.com/en/product/30122/tab/quality/
WSLP0603R0820FEA,R158,1,FLOOR_LIFE_UNLIMITED,250,"Exact MPN manufacturer quality row: Floor Life-Unlimited. This is preserved as the manufacturer designation, not silently relabeled numeric MSL1. Vishay document31052 prose specifies reflow≤250C for≤20s; its table allows260C, so this package uses the more restrictive prose. Thermal ramp, cooling and controlled cleaning still apply.",https://www.vishay.com/en/product/30122/tab/quality/
XGL5030-153MEC,L151,1,1,260,"Family explicitlyMSL1; permitted3x40s at260C, cool between cycles; vendor washing document applies.",baseline/GR86_CCA_RevB/evidence/manufacturer/xgl5030_2026.pdf
